path,source_id,group_id,source_path,kelas,label,subjenis,partition,is_augmented,transform,motif_complexity_score,small_contour_count,glcm_entropy,glcm_homogeneity,lbp_entropy,fft_peak_ratio,model,predicted_label,predicted_class,score_batik,correct,error_type
uji_eksternal/batik/batik_megamendung (5).jpg,3e23d6307120,3e23d6307120,uji_eksternal/batik/batik_megamendung (5).jpg,batik,1,megamendung,external,False,original,187.08416748046875,1104.0,7.030761385285134,0.5016082151036201,6.814262849157366,14.27665859217066,SVM (RBF),0,non_batik,0.4490689820296522,False,batik_menjadi_non_batik
uji_eksternal/batik/batik_parang (5).jpg,d4f5114d7f29,d4f5114d7f29,uji_eksternal/batik/batik_parang (5).jpg,batik,1,parang,external,False,original,161.510009765625,723.0,6.983300045340359,0.4442577537999022,6.94881178741289,49.35828415396031,SVM (RBF),0,non_batik,0.3214259031386648,False,batik_menjadi_non_batik
uji_eksternal/batik/batik_sogan (2).jpg,8de9e044b85d,8de9e044b85d,uji_eksternal/batik/batik_sogan (2).jpg,batik,1,sogan,external,False,original,211.68865203857425,1310.0,7.017439404534801,0.4039974988205624,6.999121163695938,18.08111319788862,SVM (RBF),0,non_batik,0.4525811270926532,False,batik_menjadi_non_batik
uji_eksternal/batik/batik_sogan (3).jpg,7bbeb917afc1,7bbeb917afc1,uji_eksternal/batik/batik_sogan (3).jpg,batik,1,sogan,external,False,original,170.22332382202148,1249.0,6.8515332424004685,0.4662266723064728,7.013944466112542,40.53063634878446,SVM (RBF),0,non_batik,0.3343777765384688,False,batik_menjadi_non_batik
uji_eksternal/non_batik/kain_bunga (4).jpg,8e95091d7820,8e95091d7820,uji_eksternal/non_batik/kain_bunga (4).jpg,non_batik,0,bunga,external,False,original,92.5573272705078,971.0,5.7955084545295374,0.5875816023291203,6.5571548848281545,42.07794501208218,SVM (RBF),1,batik,0.7118635633196234,False,non_batik_menjadi_batik
uji_eksternal/non_batik/kain_kotak (1).jpg,c7b422c60277,c7b422c60277,uji_eksternal/non_batik/kain_kotak (1).jpg,non_batik,0,kotak,external,False,original,121.75186920166016,1298.0,6.951284625412416,0.4623005856106176,6.625482094141598,235.0629593879029,SVM (RBF),1,batik,0.7099769988178325,False,non_batik_menjadi_batik
uji_eksternal/non_batik/kain_tenun_ikat (1).jpg,fa69047f454b,fa69047f454b,uji_eksternal/non_batik/kain_tenun_ikat (1).jpg,non_batik,0,tenun_ikat,external,False,original,148.89846801757812,1012.0,6.76907416181324,0.4915439447942929,6.4875628526679385,57.2901460790647,SVM (RBF),1,batik,0.814560068210978,False,non_batik_menjadi_batik
uji_eksternal/non_batik/kain_tenun_ikat (1).webp,bbaec1c98b8c,bbaec1c98b8c,uji_eksternal/non_batik/kain_tenun_ikat (1).webp,non_batik,0,tenun_ikat,external,False,original,104.95209503173828,1054.0,6.668630413683819,0.4898774983831246,6.614646080804727,32.81689614518899,SVM (RBF),1,batik,0.7653468213923786,False,non_batik_menjadi_batik
uji_eksternal/non_batik/kain_tenun_ikat (2).jpg,19e1a072de19,19e1a072de19,uji_eksternal/non_batik/kain_tenun_ikat (2).jpg,non_batik,0,tenun_ikat,external,False,original,210.7751083374024,1514.0,6.667513803677399,0.541513013140435,6.2794697332587415,40.485031873819686,SVM (RBF),1,batik,0.7985630509895136,False,non_batik_menjadi_batik
uji_eksternal/non_batik/kain_tenun_ikat (3).jpg,153a16fa7f5c,153a16fa7f5c,uji_eksternal/non_batik/kain_tenun_ikat (3).jpg,non_batik,0,tenun_ikat,external,False,original,155.64743041992188,1017.0,5.705403345434714,0.5818971648109088,5.51003236857702,24.36837404279938,SVM (RBF),1,batik,0.5367313947394277,False,non_batik_menjadi_batik
